2024-03-22 10:28:41,978 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:29:02,765 - connection - INFO - Подключение от ('127.0.0.1', 56624)
2024-03-22 10:29:02,765 - connection - INFO - Клиент подключен: ('127.0.0.1', 56624)
2024-03-22 10:29:02,766 - connection - INFO - Подключение от ('127.0.0.1', 56625)
2024-03-22 10:29:02,766 - connection - INFO - Клиент подключен: ('127.0.0.1', 56625)
2024-03-22 10:29:02,766 - connection - INFO - Подключение от ('127.0.0.1', 56626)
2024-03-22 10:29:02,766 - connection - INFO - Клиент подключен: ('127.0.0.1', 56626)
2024-03-22 10:29:42,149 - connection - INFO - Подключение от ('127.0.0.1', 56635)
2024-03-22 10:29:42,150 - connection - INFO - Клиент подключен: ('127.0.0.1', 56635)
2024-03-22 10:29:47,198 - connection - INFO - Подключение от ('127.0.0.1', 56636)
2024-03-22 10:29:47,199 - connection - INFO - Клиент подключен: ('127.0.0.1', 56636)
2024-03-22 10:32:27,042 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:32:28,403 - connection - INFO - Подключение от ('127.0.0.1', 56710)
2024-03-22 10:32:28,404 - connection - INFO - Клиент подключен: ('127.0.0.1', 56710)
2024-03-22 10:32:28,404 - connection - INFO - Подключение от ('127.0.0.1', 56711)
2024-03-22 10:32:28,404 - connection - INFO - Клиент подключен: ('127.0.0.1', 56711)
2024-03-22 10:32:28,404 - connection - INFO - Подключение от ('127.0.0.1', 56712)
2024-03-22 10:32:28,404 - connection - INFO - Клиент подключен: ('127.0.0.1', 56712)
2024-03-22 10:33:38,749 - connection - INFO - Подключение от ('127.0.0.1', 56729)
2024-03-22 10:33:38,750 - connection - INFO - Клиент подключен: ('127.0.0.1', 56729)
2024-03-22 10:33:45,031 - connection - INFO - Подключение от ('127.0.0.1', 56731)
2024-03-22 10:33:45,032 - connection - INFO - Клиент подключен: ('127.0.0.1', 56731)
2024-03-22 10:33:47,649 - connection - INFO - Подключение от ('127.0.0.1', 56732)
2024-03-22 10:33:47,650 - connection - INFO - Клиент подключен: ('127.0.0.1', 56732)
2024-03-22 10:39:47,820 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 10:39:53,282 - connection - INFO - Подключение от ('127.0.0.1', 57085)
2024-03-22 10:39:53,283 - connection - INFO - Клиент подключен: ('127.0.0.1', 57085)
2024-03-22 10:39:53,283 - connection - INFO - Клиент отключен: ('127.0.0.1', 57085)
2024-03-22 10:39:54,889 - connection - INFO - Подключение от ('127.0.0.1', 57086)
2024-03-22 10:39:54,890 - connection - INFO - Клиент подключен: ('127.0.0.1', 57086)
2024-03-22 10:39:54,891 - connection - INFO - Клиент отключен: ('127.0.0.1', 57086)
2024-03-22 10:39:58,218 - connection - INFO - Подключение от ('127.0.0.1', 57087)
2024-03-22 10:39:58,219 - connection - INFO - Клиент подключен: ('127.0.0.1', 57087)
2024-03-22 10:39:58,219 - connection - INFO - Клиент отключен: ('127.0.0.1', 57087)
2024-03-22 10:39:59,030 - connection - INFO - Подключение от ('127.0.0.1', 57088)
2024-03-22 10:39:59,031 - connection - INFO - Клиент подключен: ('127.0.0.1', 57088)
2024-03-22 10:39:59,031 - connection - INFO - Авторизация успешна: 
2024-03-22 10:39:59,031 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57088)
2024-03-22 10:39:59,031 - connection - INFO - Клиент отключен: ('127.0.0.1', 57088)
2024-03-22 10:40:00,361 - connection - INFO - Подключение от ('127.0.0.1', 57089)
2024-03-22 10:40:00,362 - connection - INFO - Клиент подключен: ('127.0.0.1', 57089)
2024-03-22 10:40:00,363 - connection - INFO - Клиент отключен: ('127.0.0.1', 57089)
2024-03-22 10:40:00,799 - connection - INFO - Подключение от ('127.0.0.1', 57090)
2024-03-22 10:40:00,800 - connection - INFO - Клиент подключен: ('127.0.0.1', 57090)
2024-03-22 10:40:00,800 - connection - INFO - Авторизация успешна: 
2024-03-22 10:40:00,801 - connection - ERROR - Соединение прервано: ('127.0.0.1', 57090)
2024-03-22 10:40:00,801 - connection - INFO - Клиент отключен: ('127.0.0.1', 57090)
2024-03-22 10:40:01,146 - connection - INFO - Подключение от ('127.0.0.1', 57091)
2024-03-22 10:40:01,147 - connection - INFO - Клиент подключен: ('127.0.0.1', 57091)
2024-03-22 10:40:01,147 - connection - INFO - Клиент отключен: ('127.0.0.1', 57091)
2024-03-22 10:40:16,138 - connection - INFO - Подключение от ('127.0.0.1', 57096)
2024-03-22 10:40:16,138 - connection - INFO - Клиент подключен: ('127.0.0.1', 57096)
2024-03-22 10:40:16,139 - connection - INFO - Клиент отключен: ('127.0.0.1', 57096)
